,Sentence,Intent,Color,Item
7789,nrhprzybzvvspqihb,unknown,unknown,unknown
3873,gufxvgrjqejhw,unknown,unknown,unknown
6897,We are playing a game,unknown,unknown,unknown
977,may i ask for a jeans,Check Availability,unknown,jeans
1139,what is the price of a gray jeans,Asking for the price,gray,jeans
11161,tvzu,unknown,unknown,unknown
6501,jaijfizslmytvctgv,unknown,unknown,unknown
6807,what about gray t-shirt,unknown,gray,t-shirt
764,rquad,unknown,unknown,unknown
13109,hxkgxuhkyfqacuihtw,unknown,unknown,unknown
11168,qgglmxsbxtrxkrclmns,unknown,unknown,unknown
4464,uzqrlmtucdvbslmah,unknown,unknown,unknown
10369,shzgtjqkfvrdxysqxb,unknown,unknown,unknown
13193,nsdscfruuhuitk,unknown,unknown,unknown
644,It was dancing,unknown,unknown,unknown
3178,nxqtvtpaqhriadpqvw,unknown,unknown,unknown
6410,otjtbhscuesweflmc,unknown,unknown,unknown
10199,vuxclmvxsx,unknown,unknown,unknown
10892,rjxqutscyawlmueuwdd,unknown,unknown,unknown
12112,rlmsr,unknown,unknown,unknown
9246,ktotpklmhyf,unknown,unknown,unknown
12296,hfcefgwsrjn,unknown,unknown,unknown
10217,out,unknown,unknown,unknown
14069,ahslmoquidw,unknown,unknown,unknown
3227,uvdvktzjh,unknown,unknown,unknown
9320,pew,unknown,unknown,unknown
13868,wkwxuxjkxpivjbbuq,unknown,unknown,unknown
3276,is there a pink shirt,Check Availability,pink,shirt
10098,rlmfgrvdpv,unknown,unknown,unknown
15770,nvtlmf,unknown,unknown,unknown
3785,efpgp,unknown,unknown,unknown
13926,jvbitbpkierwzhwyrsg,unknown,unknown,unknown
150,yuforckuqtr,unknown,unknown,unknown
766,goixzvlmwrtlmnrjuh,unknown,unknown,unknown
5205,hqkdhtbtubdnnhwkjb,unknown,unknown,unknown
6223,do you have a red jacket,Check Availability,red,jacket
3984,ory,unknown,unknown,unknown
14663,sgduehiogenuthhfst,unknown,unknown,unknown
15832,ti,unknown,unknown,unknown
7634,almtrqnnsarehrlmjy,unknown,unknown,unknown
10669,pregtfqyatfockokkk,unknown,unknown,unknown
9017,wvkao,unknown,unknown,unknown
4742,qjjpbolmlmhb,unknown,unknown,unknown
15947,ulmnetftvnlmob,unknown,unknown,unknown
6062,how much does a blue dress cost,Asking for the price,blue,dress
8100,opecftkcr,unknown,unknown,unknown
15825,ylmbfdcxna,unknown,unknown,unknown
8494,wcfxyjqksxkab,unknown,unknown,unknown
12493,nonhlmwittihn,unknown,unknown,unknown
2526,juhabkwpwqvsfr,unknown,unknown,unknown
7467,fvrvi,unknown,unknown,unknown
14540,uexfyngdkawtoqvt,unknown,unknown,unknown
5772,oevgnbnkyytwodd,unknown,unknown,unknown
7032,zxylmr,unknown,unknown,unknown
3637,what about a red hat,unknown,red,hat
1830,wrdefkirscnfkovn,unknown,unknown,unknown
9835,izd,unknown,unknown,unknown
13201,rhzufdqb,unknown,unknown,unknown
7806,irtnznyhcbwodkhohp,unknown,unknown,unknown
6235,what about a green pantalon,unknown,green,pantalon
10904,cieigrripadyfeb,unknown,unknown,unknown
16190,gbjaqiduudngfvqfgo,unknown,unknown,unknown
16165,cjsxriqqb,unknown,unknown,unknown
4174,what about the brown jacket,unknown,brown,jacket
13763,vgksfftczdr,unknown,unknown,unknown
16375,heeeeey,unknown,unknown,unknown
11169,dgfwtvttcioexws,unknown,unknown,unknown
8376,dfniueanggcc,unknown,unknown,unknown
12325,ccrkiebczunknhrb,unknown,unknown,unknown
10262,ohlmz,unknown,unknown,unknown
16102,lmyzjqgvcqc,unknown,unknown,unknown
13718,svizpewzeoxvngbc,unknown,unknown,unknown
12149,yqdhzydrbsik,unknown,unknown,unknown
4479,xho,unknown,unknown,unknown
8817,rwgawsdjj,unknown,unknown,unknown
11109,vuidxj,unknown,unknown,unknown
7041,i am looking for a brown chemise,Check Availability,brown,chemise
2043,what about cyan jeans,unknown,cyan,jeans
10865,goyxpsbnbiiayqvrwvq,unknown,unknown,unknown
1562,azsodupksqjjqbplme,unknown,unknown,unknown
124,i am looking for a brown t-shirt,Check Availability,brown,t-shirt
15169,dibyaanndlmbbaf,unknown,unknown,unknown
8139,niswobutasgnzbukf,unknown,unknown,unknown
7254,xfgvypppbcflmgeesjf,unknown,unknown,unknown
13319,xfhyqekeiicvgq,unknown,unknown,unknown
4104,ddzbealmr,unknown,unknown,unknown
10038,almxuzcxa,unknown,unknown,unknown
12382,eeadg,unknown,unknown,unknown
10175,wfzxuykddzrfavzt,unknown,unknown,unknown
3027,wrjgffppzy,unknown,unknown,unknown
13302,usbpcxiksqjsxc,unknown,unknown,unknown
9059,kiczeulmtz,unknown,unknown,unknown
13090,waxw,unknown,unknown,unknown
10624,guuqcyhjrwkw,unknown,unknown,unknown
9906,lmtrlmnlmgaysjdtvs,unknown,unknown,unknown
11606,yfeyzolmzipuw,unknown,unknown,unknown
6073,what about orange chemise,unknown,orange,chemise
11453,nbqcthgowxtpzcpr,unknown,unknown,unknown
3161,do you still have a red jacket,Check Availability,red,jacket
880,some red chemise,unknown,red,chemise
1606,some pink jeans,unknown,pink,jeans
3174,can i find a jacket,Check Availability,unknown,jacket
15918,vfklmrgaywarute,unknown,unknown,unknown
3128,ygkt,unknown,unknown,unknown
5502,qdavhlmqrhqfppravg,unknown,unknown,unknown
9014,nwfbjhaqjxjxflmqb,unknown,unknown,unknown
12759,vslmlmdgxzhh,unknown,unknown,unknown
13059,qxqbprazzaxpvig,unknown,unknown,unknown
614,keccbgudylmusrogo,unknown,unknown,unknown
14362,lmajpodivzqzhrgfe,unknown,unknown,unknown
4728,noyserutblmqokyy,unknown,unknown,unknown
5948,We are cleaning the home,unknown,unknown,unknown
14608,rng,unknown,unknown,unknown
12694,nvapolmbpjwwdaclmtc,unknown,unknown,unknown
127,what is the price of a black jacket,Asking for the price,black,jacket
